DD;Fecha;NDVI;;kc;Temporada;
4;5 de junio de 2021;0.320547;320547;0.420649563;18-19;44348
49;20 de julio de 2021;0.220972;220972;0.30240425;18-19;44348
54;25 de julio de 2021;0.231235;231235;0.314591563;18-19;44348
59;30 de julio de 2021;0.219833;219833;0.301051688;18-19;44348
74;14 de agosto de 2021;0.206133;206133;0.284782938;18-19;44348
84;24 de agosto de 2021;0.216737;216737;0.297375188;18-19;44348
89;29 de agosto de 2021;0.194528;194528;0.271002;18-19;44348
94;3 de septiembre de 2021;0.182525;182525;0.256748438;18-19;44348
99;8 de septiembre de 2021;0.178694;178694;0.252199125;18-19;44348
104;13 de septiembre de 2021;0.184777;184777;0.259422688;18-19;44348
114;23 de septiembre de 2021;0.181788;181788;0.25587325;18-19;44348
124;3 de octubre de 2021;0.193477;193477;0.269753938;18-19;44348
139;18 de octubre de 2021;0.239257;239257;0.324117688;18-19;44348
154;2 de noviembre de 2021;0.352673;352673;0.458799188;18-19;44348
169;17 de noviembre de 2021;0.350204;350204;0.45586725;18-19;44348
174;22 de noviembre de 2021;0.393721;393721;0.507543688;18-19;44348
179;27 de noviembre de 2021;0.478746;478746;0.608510875;18-19;44348
189;7 de diciembre de 2021;0.43808;43808;0.56022;18-19;44348
204;22 de diciembre de 2021;0.41448;41448;0.532195;18-19;44348
209;27 de diciembre de 2021;0.510432;510432;0.646138;18-19;44348
214;1 de enero de 2022;0.44201;44201;0.564886875;18-19;44348
224;11 de enero de 2022;0.471536;471536;0.599949;18-19;44348
229;16 de enero de 2022;0.410178;410178;0.527086375;18-19;44348
234;21 de enero de 2022;0.42758;42758;0.54775125;18-19;44348
239;26 de enero de 2022;0.410908;410908;0.52795325;18-19;44348
244;31 de enero de 2022;0.415074;415074;0.532900375;18-19;44348
249;5 de febrero de 2022;0.432842;432842;0.553999875;18-19;44348
254;10 de febrero de 2022;0.414899;414899;0.532692563;18-19;44348
259;15 de febrero de 2022;0.404295;404295;0.520100313;18-19;44348
264;20 de febrero de 2022;0.420651;420651;0.539523063;18-19;44348
274;2 de marzo de 2022;0.414122;414122;0.531769875;18-19;44348
279;7 de marzo de 2022;0.420407;420407;0.539233313;18-19;44348
284;12 de marzo de 2022;0.509404;509404;0.64491725;18-19;44348
289;17 de marzo de 2022;0.480523;480523;0.610621063;18-19;44348
294;22 de marzo de 2022;0.44507;44507;0.568520625;18-19;44348
